	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbols	genename	Pathway
211734_s_at	1.86270008035376	6.4284948809794	4.60894917638439	5.64242309248607e-05	0.0119138386325506	1.8409484015511	FCER1A	Fc fragment of IgE receptor Ia	04664:Fc epsilon RI signaling pathway - Homo sapiens (human) // 05310:Asthma - Homo sapiens (human)
224560_at	1.00961601238303	10.7800628593229	4.6047302093154	5.71278005682876e-05	0.0119138386325506	1.82964333596588	TIMP2	TIMP metallopeptidase inhibitor 2	
1552289_a_at	1.71327665752835	6.64293518623899	4.60030961004321	5.78743028645762e-05	0.0119138386325506	1.81779981273872	CILP2	cartilage intermediate layer protein 2	
230008_at	1.19391356680737	5.48231058650742	4.5653913308415	6.41199565548387e-05	0.012681921603307	1.72431533823301	THSD7A	thrombospondin type 1 domain containing 7A	
231130_at	1.01621628947466	6.70328197137097	4.55024869183034	6.70313216235744e-05	0.0127574517210754	1.68381318511835	FKBP7	FKBP prolyl isomerase 7	
212713_at	1.93041380822257	7.97449320623113	4.5393389156578	6.92094377983238e-05	0.0127616514929169	1.6546475023509	MFAP4	microfibril associated protein 4	
227812_at	1.30883609707891	6.06469884586316	4.53749849060878	6.95837049777365e-05	0.0127616514929169	1.64972863491157	TNFRSF19	TNF receptor superfamily member 19	04060:Cytokine-cytokine receptor interaction - Homo sapiens (human)
227061_at	2.08576840597493	8.34809265590725	4.52999041272308	7.11313653214437e-05	0.012812537178525	1.62966568556241	LINC01279	long intergenic non-protein coding RNA 1279	
227529_s_at	1.48175078071021	4.80785920827188	4.52289031925967	7.26261827959087e-05	0.0128500529065981	1.61069851764345	AKAP12	A-kinase anchoring protein 12	
227401_at	1.03527659725888	4.95987160330505	4.51701074717869	7.38874857323971e-05	0.0128500529065981	1.59499598812931	IL17D	interleukin 17D	
228228_at	1.01356376975154	7.8393426290433	4.49607519376301	7.85567703679306e-05	0.0133720072278041	1.5391145257574	DACT3	dishevelled binding antagonist of beta catenin 3	
225782_at	1.15467563966339	8.78079728876477	4.49182340358171	7.95400449755373e-05	0.0133720072278041	1.52777158450276	MSRB3	methionine sulfoxide reductase B3	
226522_at	1.11041311427899	7.27351662872621	4.48106908889936	8.20816491642893e-05	0.0135730753298391	1.49909037195917	PODN	podocan	
225303_at	1.1787723066996	6.47812210977743	4.45071752536021	8.96949892349745e-05	0.0142215784382746	1.41821682345579	KIRREL1	kirre like nephrin family adhesion molecule 1	
238868_at	1.22302876555243	4.69456331766788	4.4486695871167	9.02330742589049e-05	0.0142215784382746	1.41276390429907	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	
227126_at	1.07978252747159	6.4645111856009	4.44125533727799	9.22078894247036e-05	0.0142418519837137	1.39302667234876	PTPRG	protein tyrosine phosphatase receptor type G	
222043_at	1.77328536065832	8.20329947374145	4.43764271419524	9.3185509162794e-05	0.0142418519837137	1.3834120454016	CLU	clusterin	
203813_s_at	1.1493640232381	6.86846029775269	4.42798426107558	9.58496739029664e-05	0.0142701876611218	1.35771491461108	SLIT3	slit guidance ligand 3	04360:Axon guidance - Homo sapiens (human)
227870_at	1.63985524309189	5.65399418703093	4.41627139274766	9.91814317441067e-05	0.014499175391345	1.32656734782303	IGDCC4	immunoglobulin superfamily DCC subclass member 4	
204035_at	1.33421674513092	4.39418251740219	4.40331047714163	0.000103001340632896	0.014559332401796	1.29212101168812	SCG2	secretogranin II	
228507_at	1.18808110057454	5.96245628448192	4.4002540567017	0.000103923062647895	0.014559332401796	1.28400105318652	PDE3A	phosphodiesterase 3A	00230:Purine metabolism - Homo sapiens (human) // 04910:Insulin signaling pathway - Homo sapiens (human) // 04914:Progesterone-mediated oocyte maturation - Homo sapiens (human)
219978_s_at	-1.76741456254386	6.19655601289849	-4.38521879599754	0.000108576892386918	0.0147784284288103	1.24407458862349	NUSAP1	nucleolar and spindle associated protein 1	
214321_at	1.87883406526021	6.42908958834797	4.38338845859003	0.000109157267878071	0.0147784284288103	1.23921609578128	CCN3	cellular communication network factor 3	
205330_at	1.55538116487876	6.17252634249127	4.37919407106161	0.000110498802567905	0.0147784284288103	1.22808406858217	MN1	MN1 proto-oncogene, transcriptional regulator	
238478_at	1.34219680555898	6.69269731066474	4.3765669062181	0.000111347334250975	0.0147784284288103	1.22111267687004	BNC2	basonuclin 2	
204040_at	1.13329031795716	7.32642491675868	4.36774573698038	0.000114243650710424	0.0148654517879213	1.19771169663969	RNF144A	ring finger protein 144A	
212915_at	1.19709503397199	7.83349898496633	4.36547736888438	0.000115000354244904	0.0148654517879213	1.19169580053305	PDZRN3	PDZ domain containing ring finger 3	
225381_at	1.24705229941703	6.60870052291935	4.36124874270107	0.000116424178769285	0.0148654517879213	1.18048298507702	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	
202177_at	1.14224370261444	9.05480420978398	4.35272059111627	0.000119348709567986	0.0150483804176534	1.15787670241767	GAS6	growth arrest specific 6	
227727_at	1.45001173231212	6.65539372514037	4.3374132223717	0.000124780524689072	0.0153495262504716	1.11732511270862	MRGPRF	MAS related GPR family member F	
228218_at	1.04990138827361	3.78526106116119	4.32258226241293	0.000130275095946356	0.0158323481061553	1.07806662967114	LSAMP	limbic system associated membrane protein	
239349_at	1.39783872004827	4.37208006443562	4.3130728087243	0.000133922706685961	0.0160818850278725	1.05291083377648	C1QTNF7	C1q and TNF related 7	
227623_at	1.27186349920792	6.23652670531127	4.30829222458495	0.000135794197675215	0.0161147773170576	1.04026940911838	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	04010:MAPK signaling pathway - Homo sapiens (human) // 04260:Cardiac muscle contraction - Homo sapiens (human) // 05410:Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human) // 05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human) // 05414:Dilated cardiomyopathy (DCM) - Homo sapiens (human)
227911_at	1.07611744575724	5.33758192129963	4.29687135685174	0.000140369981094701	0.0162171850977874	1.01008224656839	ARHGAP28	Rho GTPase activating protein 28	
203554_x_at	-1.4992235477085	8.82575521471211	-4.29415517554972	0.00014148034981712	0.0162171850977874	1.00290573800889	PTTG1	PTTG1 regulator of sister chromatid separation, securin	04110:Cell cycle - Homo sapiens (human) // 04114:Oocyte meiosis - Homo sapiens (human)
202465_at	1.14361047722903	10.1569159860009	4.27744279742444	0.000148504884600921	0.016831109786174	0.958773304365565	PCOLCE	procollagen C-endopeptidase enhancer	
231040_at	1.03727186167351	4.20623078150748	4.26236077226112	0.000155137793663204	0.0171964277437444	0.918981876312698	RORB	RAR related orphan receptor B	04710:Circadian rhythm - Homo sapiens (human)
202705_at	-1.85839470244911	7.49077301057488	-4.25436447797549	0.000158771717044757	0.0172207560196824	0.897898938081068	CCNB2	cyclin B2	04110:Cell cycle - Homo sapiens (human) // 04114:Oocyte meiosis - Homo sapiens (human) // 04115:p53 signaling pathway - Homo sapiens (human) // 04914:Progesterone-mediated oocyte maturation - Homo sapiens (human)
205407_at	1.15943969559029	7.65738386783442	4.24579614307893	0.000162758450887404	0.0173073854009288	0.875318632011474	RECK	reversion inducing cysteine rich protein with kazal motifs	
236361_at	1.45569589773284	6.92980491675432	4.24013039403107	0.000165448500555118	0.0173073854009288	0.860393796493606	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	00512:Mucin type O-glycan biosynthesis - Homo sapiens (human) // 01100:Metabolic pathways - Homo sapiens (human)
213058_at	1.13710401908085	6.85399716195916	4.2346885436638	0.000168073346993504	0.0173073854009288	0.846063461834896	TTC28	tetratricopeptide repeat domain 28	
228827_at	1.61648877357258	6.91768391866725	4.22873093750239	0.000170993878623911	0.0173073854009288	0.830380275103663	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	05200:Pathways in cancer - Homo sapiens (human) // 05221:Acute myeloid leukemia - Homo sapiens (human)
1556427_s_at	1.35781049851368	6.14529756741405	4.22234860513522	0.000174177923525004	0.0173073854009288	0.813585218803951	LRRN4CL	LRRN4 C-terminal like	
228109_at	1.1402818732276	6.6995103206456	4.22160807572373	0.000174551110810779	0.0173073854009288	0.811636939349941	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2	04010:MAPK signaling pathway - Homo sapiens (human)
204533_at	-2.09534153054828	9.59584259946199	-4.20580153277241	0.000182706635173064	0.0173073854009288	0.77007195578371	CXCL10	C-X-C motif chemokine ligand 10	04060:Cytokine-cytokine receptor interaction - Homo sapiens (human) // 04062:Chemokine signaling pathway - Homo sapiens (human) // 04620:Toll-like receptor signaling pathway - Homo sapiens (human) // 04622:RIG-I-like receptor signaling pathway - Homo sapiens (human) // 04623:Cytosolic DNA-sensing pathway - Homo sapiens (human)
204069_at	1.1723463062496	6.10563888337796	4.2052176259816	0.000183014965092564	0.0173073854009288	0.768537280102888	MEIS1	Meis homeobox 1	
235182_at	1.41820578420664	7.0594661415834	4.1948098156231	0.00018859724520184	0.0173073854009288	0.741191834380875	ISM1	isthmin 1	
201466_s_at	1.42541456057053	8.21528715064734	4.1909399090613	0.000190715228894531	0.0173073854009288	0.731028564190336	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	04010:MAPK signaling pathway - Homo sapiens (human) // 04012:ErbB signaling pathway - Homo sapiens (human) // 04310:Wnt signaling pathway - Homo sapiens (human) // 04380:Osteoclast differentiation - Homo sapiens (human) // 04510:Focal adhesion - Homo sapiens (human) // 04620:Toll-like receptor signaling pathway - Homo sapiens (human) // 04660:T cell receptor signaling pathway - Homo sapiens (human) // 04662:B cell receptor signaling pathway - Homo sapiens (human) // 04722:Neurotrophin signaling pathway - Homo sapiens (human) // 04912:GnRH signaling pathway - Homo sapiens (human) // 05120:Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human) // 05140:Leishmaniasis - Homo sapiens (human) // 05142:Chagas disease (American trypanosomiasis) - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05210:Colorectal cancer - Homo sapiens (human) // 05211:Renal cell carcinoma - Homo sapiens (human) // 05323:Rheumatoid arthritis - Homo sapiens (human)
229084_at	1.27072259113794	5.82072712367247	4.18526912484251	0.000193861050864738	0.0173073854009288	0.716140219926704	CNTN4	contactin 4	
202095_s_at	-2.16047216503638	7.22964884881551	-4.17721951887775	0.000198414107830146	0.0175561675937078	0.69501554147269	BIRC5	baculoviral IAP repeat containing 5	05200:Pathways in cancer - Homo sapiens (human) // 05210:Colorectal cancer - Homo sapiens (human)
217430_x_at	1.34228666810815	8.4195881781189	4.17035084885929	0.000202382026649564	0.0177244068316625	0.676998547335498	COL1A1	collagen type I alpha 1 chain	04510:Focal adhesion - Homo sapiens (human) // 04512:ECM-receptor interaction - Homo sapiens (human) // 04974:Protein digestion and absorption - Homo sapiens (human) // 05146:Amoebiasis - Homo sapiens (human)
217525_at	1.1981438508037	7.38945845175396	4.15966530441157	0.000208710121148578	0.0179672777900557	0.648985405374153	OLFML1	olfactomedin like 1	
214761_at	1.38672983707232	7.72406824627282	4.15033714686607	0.000214392709539224	0.0179672777900557	0.624546631257446	ZNF423	zinc finger protein 423	
215506_s_at	1.09824737196518	4.39434614106963	4.15003240203052	0.000214580892648549	0.0179672777900557	0.623748483480328	DIRAS3	DIRAS family GTPase 3	
207480_s_at	1.35175424791984	7.07898709946122	4.1485010720557	0.000215528959313646	0.0179672777900557	0.619738065899957	MEIS2	Meis homeobox 2	
200795_at	1.1169999873624	11.6297939390587	4.135166480397	0.000223960055913679	0.0183665453983844	0.584833062753466	SPARCL1	SPARC like 1	
232060_at	1.15566083817635	5.42543852022509	4.13009274511406	0.000227252238843726	0.0184862365581989	0.57156002883827	ROR1	receptor tyrosine kinase like orphan receptor 1	
1555564_a_at	1.53451615858731	6.25135894861745	4.10732297624006	0.000242620300700289	0.0195784877853105	0.512049576770385	CFI	complement factor I	04610:Complement and coagulation cascades - Homo sapiens (human) // 05150:Staphylococcus aureus infection - Homo sapiens (human)
229461_x_at	1.30650520937889	6.07644491592892	4.09053016563659	0.000254602154507099	0.0199083095543652	0.468219827841189	NEGR1	neuronal growth regulator 1	04514:Cell adhesion molecules (CAMs) - Homo sapiens (human)
206638_at	1.20599432734363	5.76974776663423	4.07335297514486	0.000267457379968187	0.0199411537670534	0.423440099094396	HTR2B	5-hydroxytryptamine receptor 2B	04020:Calcium signaling pathway - Homo sapiens (human) // 04080:Neuroactive ligand-receptor interaction - Homo sapiens (human) // 04540:Gap junction - Homo sapiens (human)
205907_s_at	1.57502039455035	7.00412568931575	4.06885075293524	0.000270930566019152	0.0199411537670534	0.411712147598248	OMD	osteomodulin	
214247_s_at	1.22338170288658	9.62978440290544	4.06026659292519	0.000277675465692498	0.0199411537670534	0.389361546931852	DKK3	dickkopf WNT signaling pathway inhibitor 3	
235371_at	1.34924209743312	9.46883316118124	4.05837841731033	0.000279180978961514	0.0199411537670534	0.384447155167114	GXYLT2	glucoside xylosyltransferase 2	00514:Other types of O-glycan biosynthesis - Homo sapiens (human)
226420_at	1.0129170010338	5.47135849069687	4.04835132522311	0.000287310774273864	0.0199411537670534	0.358360737365154	MECOM	MDS1 and EVI1 complex locus	04010:MAPK signaling pathway - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05220:Chronic myeloid leukemia - Homo sapiens (human)
218009_s_at	-1.6011672870438	7.68991472864925	-4.04717562791992	0.000288279049333232	0.0199411537670534	0.355303301073052	PRC1	protein regulator of cytokinesis 1	
203362_s_at	-1.73831759378507	7.81577882981157	-4.04333283361218	0.000291466201750304	0.0199411537670534	0.345311838184131	MAD2L1	mitotic arrest deficient 2 like 1	04110:Cell cycle - Homo sapiens (human) // 04114:Oocyte meiosis - Homo sapiens (human) // 04914:Progesterone-mediated oocyte maturation - Homo sapiens (human)
204939_s_at	1.36903963512078	6.9979491927879	4.03807320372608	0.000295884389335958	0.0199411537670534	0.331641112129473	PLN	phospholamban	04020:Calcium signaling pathway - Homo sapiens (human) // 05414:Dilated cardiomyopathy (DCM) - Homo sapiens (human)
206101_at	1.28667048493644	8.05489529121157	4.03760699835052	0.000296279156424416	0.0199411537670534	0.330429616625025	ECM2	extracellular matrix protein 2	
228224_at	1.28606091607719	7.50912979583172	4.03625954068163	0.000297423036882579	0.0199411537670534	0.326928307218066	PRELP	proline and arginine rich end leucine rich repeat protein	
205381_at	1.76773866984436	7.93159428185977	4.03474302497719	0.000298715600441815	0.0199411537670534	0.322988126371333	LRRC17	leucine rich repeat containing 17	
223235_s_at	1.41197051742784	9.52662362343159	4.0238935059805	0.000308124509857726	0.0199411537670534	0.294812105596437	SMOC2	SPARC related modular calcium binding 2	
231382_at	1.26296816077717	5.70321565325744	4.01905950809347	0.000312409390804887	0.0199411537670534	0.282265670779871	FGF18	fibroblast growth factor 18	04010:MAPK signaling pathway - Homo sapiens (human) // 04810:Regulation of actin cytoskeleton - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05218:Melanoma - Homo sapiens (human)
213429_at	1.12661624135621	6.94805590333738	4.01100045943837	0.000319682835582587	0.0199411537670534	0.261358943473025	BICC1	BicC family RNA binding protein 1	
205242_at	-2.73018446076167	7.81345666547534	-4.00918608149622	0.00032134303405066	0.0199411537670534	0.256653861951425	CXCL13	C-X-C motif chemokine ligand 13	04060:Cytokine-cytokine receptor interaction - Homo sapiens (human) // 04062:Chemokine signaling pathway - Homo sapiens (human)
230744_at	1.41989333364877	6.09889948743967	4.00744499432641	0.000322944092081932	0.0199411537670534	0.25213945171571	FSTL1	follistatin like 1	
213519_s_at	1.19611636230451	6.62302558135389	4.00588314583476	0.00032438695943708	0.0199411537670534	0.248090294804925	LAMA2	laminin subunit alpha 2	04510:Focal adhesion - Homo sapiens (human) // 04512:ECM-receptor interaction - Homo sapiens (human) // 05145:Toxoplasmosis - Homo sapiens (human) // 05146:Amoebiasis - Homo sapiens (human) // 05200:Pathways in cancer - Homo sapiens (human) // 05222:Small cell lung cancer - Homo sapiens (human) // 05410:Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human) // 05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human) // 05414:Dilated cardiomyopathy (DCM) - Homo sapiens (human) // 05416:Viral myocarditis - Homo sapiens (human)
213169_at	1.10287254047485	6.60746737809577	4.00570368180701	0.000324553154996276	0.0199411537670534	0.247625057868119	SEMA5A	semaphorin 5A	04360:Axon guidance - Homo sapiens (human)
227209_at	1.40453683542277	6.43574481509887	3.99971716449883	0.000330145006354508	0.0199411537670534	0.232109466958228	CNTN1	contactin 1	04514:Cell adhesion molecules (CAMs) - Homo sapiens (human)
203697_at	1.70240732436294	7.83113182123035	3.995767570987	0.000333885653895032	0.0200470511359475	0.221876998876017	FRZB	frizzled related protein	
218901_at	1.17997694427992	7.78055431834951	3.98993916949305	0.000339481474763216	0.0202439486866915	0.206782693308261	PLSCR4	phospholipid scramblase 4	
208131_s_at	1.49979537703905	8.36114224905604	3.98818976978609	0.000341178871491777	0.0202439486866915	0.20225345814564	PTGIS	prostaglandin I2 synthase	00590:Arachidonic acid metabolism - Homo sapiens (human) // 01100:Metabolic pathways - Homo sapiens (human)
212977_at	1.16164353550921	8.31399511985455	3.97486774933019	0.000354379690591119	0.0207827205755385	0.167782780070898	ACKR3	atypical chemokine receptor 3	04060:Cytokine-cytokine receptor interaction - Homo sapiens (human)
209891_at	-1.28289794161161	5.06103372538812	-3.96158627569059	0.000368036439994613	0.0214588645677784	0.13345311794833	SPC25	SPC25 component of NDC80 kinetochore complex	
227860_at	1.48248388421037	7.37370257575415	3.95304196950513	0.000377092385205043	0.0214900050257812	0.111387246779228	CPXM1	carboxypeptidase X, M14 family member 1	
204963_at	1.13394667992069	7.60570661061852	3.94525458424053	0.000385535312960102	0.0217256687252992	0.0912894009720118	SSPN	sarcospan	
218980_at	1.11733549606416	5.69948384365474	3.931879950979	0.000400468288636186	0.0222421999957835	0.0568016490273218	FHOD3	formin homology 2 domain containing 3	
203755_at	-1.51789166356097	6.96419785215245	-3.91941875089612	0.000414888332487739	0.0225364414985644	0.0247034954819485	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	04110:Cell cycle - Homo sapiens (human)
209156_s_at	1.14845782435676	11.0231885833955	3.91863720035998	0.000415809426396991	0.0225364414985644	0.0226914495534025	COL6A2	collagen type VI alpha 2 chain	04510:Focal adhesion - Homo sapiens (human) // 04512:ECM-receptor interaction - Homo sapiens (human) // 04974:Protein digestion and absorption - Homo sapiens (human)
227719_at	1.47717085997026	6.19523629188675	3.91526299973672	0.000419809024791518	0.0225364414985644	0.0140063219070079	SMAD9	SMAD family member 9	04350:TGF-beta signaling pathway - Homo sapiens (human)
201890_at	-1.94438888895847	8.24538004750825	-3.91353859946382	0.000421867499453971	0.0225364414985644	0.00956869741393707	RRM2	ribonucleotide reductase regulatory subunit M2	00230:Purine metabolism - Homo sapiens (human) // 00240:Pyrimidine metabolism - Homo sapiens (human) // 00480:Glutathione metabolism - Homo sapiens (human) // 01100:Metabolic pathways - Homo sapiens (human) // 04115:p53 signaling pathway - Homo sapiens (human)
